start,end,name
560.23,565.73,REFERENCE
560.23,562.23,PreStimSilence
565.23,565.73,PostStimSilence
566.29,571.7909999999999,TRIAL
566.29,571.79,STIM_SE1-27_Pile_Driver.wav
566.29,571.79,REFERENCE
566.29,568.29,PreStimSilence
571.29,571.79,PostStimSilence
572.28,577.781,TRIAL
572.28,577.78,STIM_00Oxford_male2b.wav
572.28,577.78,REFERENCE
572.28,574.28,PreStimSilence
577.28,577.78,PostStimSilence
578.28,583.781,TRIAL
578.28,583.78,STIM_00ferretmixed41.wav
578.28,583.78,REFERENCE
578.28,580.28,PreStimSilence
583.28,583.78,PostStimSilence
584.12,589.621,TRIAL
584.12,589.62,STIM_SoundBible_farm.wav
584.12,589.62,REFERENCE
584.12,586.12,PreStimSilence
589.12,589.62,PostStimSilence
590.14,595.641,TRIAL
590.14,595.64,STIM_wooden_blocks_falling.wav
590.14,595.64,REFERENCE
590.14,592.14,PreStimSilence
595.14,595.64,PostStimSilence
596.11,601.611,TRIAL
596.11,601.61,STIM_Castanets_steady.wav
596.11,601.61,REFERENCE
596.11,598.11,PreStimSilence
601.11,601.61,PostStimSilence
602.62,608.121,TRIAL
602.62,608.12,STIM_ASE-49_Wind_Chimes.wav
602.62,608.12,REFERENCE
602.62,604.62,PreStimSilence
607.62,608.12,PostStimSilence
608.64,614.141,TRIAL
608.64,614.14,STIM_si1377.wav
608.64,614.14,REFERENCE
608.64,610.64,PreStimSilence
613.64,614.14,PostStimSilence
614.83,620.331,TRIAL
614.83,620.33,STIM_ferretmixed36.wav
614.83,620.33,REFERENCE
614.83,616.83,PreStimSilence
619.83,620.33,PostStimSilence
620.77,626.271,TRIAL
620.77,626.27,STIM_SoundBible_mallard_frog.wav
620.77,626.27,REFERENCE
620.77,622.77,PreStimSilence
625.77,626.27,PostStimSilence
626.76,632.261,TRIAL
626.76,632.26,STIM_si1112.wav
626.76,632.26,REFERENCE
626.76,628.76,PreStimSilence
631.76,632.26,PostStimSilence
632.74,638.241,TRIAL
632.74,638.24,STIM_city.wav
632.74,638.24,REFERENCE
632.74,634.74,PreStimSilence
637.74,638.24,PostStimSilence
638.69,644.191,TRIAL
638.69,644.19,STIM_LBHB_food.wav
638.69,644.19,REFERENCE
638.69,640.69,PreStimSilence
643.69,644.19,PostStimSilence
644.7,650.202,TRIAL
644.7,650.2,STIM_fire.wav
644.7,650.2,REFERENCE
644.7,646.7,PreStimSilence
